essay_id,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long
1,1,1,0.10714285714285714,0.17857142857142858,0.0,0.17857142857142858,0.5,2,0.0,0.0,1.0,28.2
2,1,1,0.08333333333333333,0.25,0.0,0.22916666666666666,0.375,3,0.0,0.0,1.0,26.4
3,1,1,0.08571428571428572,0.22857142857142856,0.0,0.17142857142857143,0.45714285714285713,2,0.0,1.0,0.0,13.7
4,0,1,0.058823529411764705,0.29411764705882354,0.0,0.17647058823529413,0.47058823529411764,0,0.0,1.0,0.0,6.8
5,2,1,0.06451612903225806,0.1935483870967742,0.0,0.2903225806451613,0.45161290322580644,0,0.0,1.0,0.0,13.2
6,1,1,0.041666666666666664,0.16666666666666666,0.0,0.20833333333333334,0.5833333333333334,0,0.0,1.0,0.0,11.0
7,1,1,0.15853658536585366,0.21951219512195122,0.0,0.17073170731707318,0.4146341463414634,3,0.0,0.0,1.0,42.6
8,3,1,0.07692307692307693,0.23076923076923078,0.0,0.18461538461538463,0.5076923076923077,0,0.0,0.0,1.0,31.9
9,3,1,0.11864406779661017,0.1864406779661017,0.0,0.2542372881355932,0.4406779661016949,0,0.0,0.0,1.0,28.4
10,2,1,0.0847457627118644,0.2542372881355932,0.0,0.1864406779661017,0.4576271186440678,1,0.0,0.0,1.0,17.1
11,0,1,0.07692307692307693,0.3076923076923077,0.0,0.15384615384615385,0.46153846153846156,0,0.0,1.0,0.0,9.7
12,3,1,0.0975609756097561,0.24390243902439024,0.0,0.17073170731707318,0.4878048780487805,0,0.0,0.0,1.0,20.0
13,2,1,0.14893617021276595,0.2127659574468085,0.0,0.23404255319148937,0.3617021276595745,2,0.0,0.0,1.0,26.2
14,2,1,0.0,0.375,0.0,0.125,0.5,0,1.0,0.0,0.0,5.6
15,0,1,0.14814814814814814,0.18518518518518517,0.0,0.2037037037037037,0.42592592592592593,2,0.0,0.0,1.0,27.5
16,0,1,0.125,0.125,0.0,0.5,0.25,0,1.0,0.0,0.0,-3.9
17,3,1,0.057692307692307696,0.34615384615384615,0.0,0.15384615384615385,0.4423076923076923,0,0.0,0.0,1.0,26.0
18,0,1,0.11904761904761904,0.21428571428571427,0.0,0.21428571428571427,0.44047619047619047,1,0.0,0.0,1.0,40.4
