essay_id,set,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long,vocab_level,new_score,pred_score
1,1,4.0,1,0.1282798833819242,0.22448979591836735,0.0,0.20699708454810495,0.4402332361516035,0,0.0,0.0,1.0,170.6,0,0
2,1,5.0,1,0.1066350710900474,0.23933649289099526,0.0,0.20616113744075829,0.43601895734597157,5,0.0,0.0,1.0,210.0,1,0
3,1,4.0,1,0.127208480565371,0.2756183745583039,0.0,0.19434628975265017,0.3957597173144876,2,0.0,0.0,1.0,140.6,0,0
4,1,5.0,1,0.14990512333965844,0.3036053130929791,0.0018975332068311196,0.18975332068311196,0.3567362428842505,0,0.0,0.0,1.0,265.0,1,0
5,1,4.0,1,0.14468085106382977,0.23191489361702128,0.0,0.18936170212765957,0.42340425531914894,5,0.0,0.0,1.0,234.2,0,0
6,1,4.0,1,0.12601626016260162,0.2073170731707317,0.0,0.2032520325203252,0.4634146341463415,0,0.0,0.0,1.0,59.3,0,0
7,1,5.0,1,0.13609467455621302,0.2445759368836292,0.0,0.17357001972386588,0.43984220907297833,3,0.0,0.0,1.0,252.8,1,0
8,1,5.0,1,0.15789473684210525,0.2125506072874494,0.0,0.23279352226720648,0.39271255060728744,2,0.0,0.0,1.0,246.4,1,0
9,1,4.0,1,0.15299334811529933,0.24168514412416853,0.0,0.18403547671840353,0.4190687361419069,1,0.0,0.0,1.0,223.9,0,0
10,1,5.0,1,0.14785992217898833,0.20233463035019456,0.0,0.22568093385214008,0.42412451361867703,0,0.0,0.0,1.0,254.6,1,0
11,1,4.0,1,0.1524390243902439,0.2530487804878049,0.0,0.21951219512195122,0.3719512195121951,1,0.0,0.0,1.0,165.5,0,0
12,1,4.0,1,0.175,0.2425,0.0,0.205,0.3775,0,0.0,0.0,1.0,199.2,0,0
13,1,4.0,1,0.12254901960784313,0.20098039215686275,0.0,0.21568627450980393,0.46078431372549017,0,0.0,0.0,1.0,99.0,0,0
14,1,3.0,1,0.15960912052117263,0.250814332247557,0.0,0.19543973941368079,0.38436482084690554,3,0.0,0.0,1.0,151.8,0,0
15,1,3.0,1,0.13068181818181818,0.3068181818181818,0.0,0.18181818181818182,0.3806818181818182,0,0.0,0.0,1.0,87.9,0,0
16,1,6.0,1,0.1200750469043152,0.2870544090056285,0.0,0.19699812382739212,0.39399624765478425,1,0.0,0.0,1.0,267.8,1,0
17,1,4.0,1,0.1440922190201729,0.1930835734870317,0.0,0.1988472622478386,0.4610951008645533,1,0.0,0.0,1.0,171.5,0,0
18,1,4.0,1,0.17647058823529413,0.20053475935828877,0.0,0.21390374331550802,0.40641711229946526,1,0.0,0.0,1.0,185.1,0,0
19,1,2.0,1,0.13636363636363635,0.3939393939393939,0.0,0.16666666666666666,0.30303030303030304,0,0.0,0.0,1.0,32.3,0,0
20,1,3.0,1,0.14556962025316456,0.31645569620253167,0.0,0.17721518987341772,0.35443037974683544,1,0.0,0.0,1.0,78.2,0,0
21,1,4.0,1,0.17983651226158037,0.22343324250681199,0.0,0.2098092643051771,0.38419618528610355,1,0.0,0.0,1.0,183.2,0,0
