essay_id,set,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long,vocab_level
16954,7,1,1,0.11538461538461539,0.19230769230769232,0.0,0.2692307692307692,0.4230769230769231,0,0.0,1.0,0.0,10.4
16955,7,1,1,0.15,0.1,0.0,0.3,0.45,0,0.0,0.0,1.0,17.8
16956,7,2,1,0.06172839506172839,0.20987654320987653,0.0,0.2716049382716049,0.4444444444444444,1,0.0,0.0,1.0,39.7
16957,7,2,1,0.09411764705882353,0.1411764705882353,0.0,0.32941176470588235,0.4,3,0.0,0.0,1.0,40.5
16958,7,1,1,0.11538461538461539,0.10256410256410256,0.0,0.3333333333333333,0.44871794871794873,0,0.0,0.0,1.0,36.0
16959,7,0,1,0.08333333333333333,0.16666666666666666,0.0,0.2222222222222222,0.5277777777777778,0,0.0,0.0,1.0,14.9
16960,7,2,1,0.060240963855421686,0.1686746987951807,0.0,0.24096385542168675,0.5301204819277109,0,0.0,0.0,1.0,42.8
16961,7,0,1,0.0,0.25,0.0,0.3333333333333333,0.4166666666666667,0,0.0,1.0,0.0,8.5
16962,7,0,1,0.109375,0.15625,0.0,0.265625,0.453125,1,0.0,0.0,1.0,29.7
16963,7,1,1,0.05405405405405406,0.16216216216216217,0.0,0.2972972972972973,0.43243243243243246,2,0.0,0.0,1.0,13.6
16964,7,0,1,0.1111111111111111,0.1388888888888889,0.0,0.3333333333333333,0.4166666666666667,0,0.0,0.0,1.0,13.1
16965,7,2,1,0.12222222222222222,0.15555555555555556,0.0,0.24444444444444444,0.4777777777777778,0,0.0,0.0,1.0,42.3
16966,7,2,1,0.13636363636363635,0.09090909090909091,0.0,0.36363636363636365,0.4090909090909091,0,0.0,1.0,0.0,6.9
16967,7,0,1,0.044444444444444446,0.1111111111111111,0.0,0.3111111111111111,0.5333333333333333,0,0.0,0.0,1.0,19.0
16968,7,0,1,0.13953488372093023,0.11627906976744186,0.0,0.27906976744186046,0.46511627906976744,0,0.0,0.0,1.0,18.8
