essay_id,set,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long,vocab_level,new_score,pred_score
4096,2,3.0,1,0.10784313725490197,0.2042483660130719,0.0,0.21241830065359477,0.4738562091503268,1,0.0,0.0,1.0,303.6,0,0
4097,2,2.0,1,0.17732558139534885,0.22093023255813954,0.0,0.2238372093023256,0.37790697674418605,0,0.0,0.0,1.0,83.6,0,0
4098,2,3.0,1,0.128099173553719,0.23553719008264462,0.0,0.24380165289256198,0.3925619834710744,0,0.0,0.0,1.0,120.2,0,0
4099,2,4.0,1,0.12690355329949238,0.3020304568527919,0.0,0.1751269035532995,0.39086294416243655,2,0.0,0.0,1.0,199.0,0,0
4100,2,3.0,1,0.1056338028169014,0.2746478873239437,0.0,0.19014084507042253,0.4225352112676056,2,0.0,0.0,1.0,139.1,0,0
4101,2,4.0,1,0.10215053763440861,0.25627240143369173,0.0,0.20967741935483872,0.43189964157706096,0,0.0,0.0,1.0,278.0,0,0
4102,2,4.0,1,0.13274336283185842,0.2345132743362832,0.0,0.22566371681415928,0.40707964601769914,0,0.0,0.0,1.0,37.9,0,0
4103,2,4.0,1,0.13753581661891118,0.21203438395415472,0.0,0.20916905444126074,0.4355300859598854,2,0.0,0.0,1.0,174.3,0,0
4104,2,3.0,1,0.1423487544483986,0.2597864768683274,0.0,0.19572953736654805,0.398576512455516,1,0.0,0.0,1.0,139.8,0,0
4105,2,3.0,1,0.17595307917888564,0.21994134897360704,0.0,0.1906158357771261,0.40762463343108507,2,0.0,0.0,1.0,168.9,0,0
4106,2,3.0,1,0.10393258426966293,0.25842696629213485,0.0,0.17134831460674158,0.45786516853932585,3,0.0,0.0,1.0,176.5,0,0
4107,2,3.0,1,0.12705882352941175,0.15294117647058825,0.0,0.24941176470588236,0.4588235294117647,5,0.0,0.0,1.0,209.5,0,0
4108,2,6.0,1,0.12962962962962962,0.27469135802469136,0.0,0.1867283950617284,0.404320987654321,3,0.0,0.0,1.0,325.5,1,0
4109,2,4.0,1,0.14720812182741116,0.23604060913705585,0.0,0.19796954314720813,0.41624365482233505,1,0.0,0.0,1.0,99.2,0,0
4110,2,3.0,1,0.13983050847457626,0.2966101694915254,0.0,0.1694915254237288,0.3940677966101695,0,0.0,0.0,1.0,29.8,0,0
4111,2,4.0,1,0.14583333333333334,0.22916666666666666,0.001488095238095238,0.20089285714285715,0.41964285714285715,3,0.0,0.0,1.0,167.1,0,0
4112,2,2.0,1,0.09278350515463918,0.15463917525773196,0.0,0.24742268041237114,0.4948453608247423,1,0.0,0.0,1.0,44.1,0,0
4113,2,3.0,1,0.12542372881355932,0.19322033898305085,0.0,0.21016949152542372,0.4711864406779661,0,0.0,0.0,1.0,144.7,0,0
4114,2,4.0,1,0.14549653579676675,0.23556581986143188,0.0,0.22170900692840648,0.394919168591224,1,0.0,0.0,1.0,215.4,0,0
4115,2,2.0,1,0.1595744680851064,0.23404255319148937,0.0,0.20212765957446807,0.40425531914893614,0,0.0,0.5,0.5,19.9,0,0
4116,2,4.0,1,0.12037037037037036,0.2222222222222222,0.0,0.20679012345679013,0.4506172839506173,0,0.0,0.0,1.0,162.6,0,0
4117,2,4.0,1,0.15010570824524314,0.24735729386892177,0.0,0.20084566596194503,0.3974630021141649,2,0.0,0.0,1.0,235.9,0,0
4118,2,3.0,1,0.13513513513513514,0.24324324324324326,0.0,0.18243243243243243,0.4391891891891892,0,0.0,0.0,1.0,146.3,0,0
4119,2,3.0,1,0.14746543778801843,0.2119815668202765,0.009216589861751152,0.23963133640552994,0.3824884792626728,4,0.0,0.0,1.0,107.4,0,0
4120,2,2.0,1,0.12903225806451613,0.2056451612903226,0.004032258064516129,0.1814516129032258,0.4838709677419355,0,0.0,0.0,1.0,122.5,0,0
4121,2,3.0,1,0.10843373493975904,0.23293172690763053,0.0,0.21285140562248997,0.4457831325301205,0,0.0,0.5,0.5,62.8,0,0
4122,2,3.0,1,0.2,0.25161290322580643,0.0,0.2129032258064516,0.32903225806451614,1,0.5,0.0,0.5,39.7,0,0
4123,2,4.0,1,0.1358974358974359,0.24871794871794872,0.0,0.2076923076923077,0.3923076923076923,6,0.0,0.5555555555555556,0.4444444444444444,21.7,0,0
4124,2,2.0,1,0.15079365079365079,0.2222222222222222,0.0,0.1984126984126984,0.42857142857142855,0,0.0,0.0,1.0,59.9,0,0
4125,2,4.0,1,0.1423487544483986,0.21530249110320285,0.0,0.19572953736654805,0.44661921708185054,0,0.0,0.0,1.0,139.8,0,0
4126,2,4.0,1,0.1440162271805274,0.20892494929006086,0.0,0.2231237322515213,0.4198782961460446,2,0.0,0.0,1.0,245.8,0,0
4127,2,4.0,1,0.16913319238900634,0.17758985200845667,0.0,0.22410147991543342,0.4249471458773784,2,0.0,0.5,0.5,115.8,0,0
4128,2,4.0,1,0.11585365853658537,0.22154471544715448,0.0,0.21951219512195122,0.4410569105691057,1,0.0,0.0,1.0,244.7,0,0
4129,2,4.0,1,0.1380952380952381,0.25,0.0,0.24285714285714285,0.36428571428571427,2,0.0,0.0,1.0,210.0,0,0
4130,2,4.0,1,0.12530712530712532,0.19533169533169534,0.0,0.22972972972972974,0.44963144963144963,0,0.5,0.0,0.5,133.1,0,0
4131,2,3.0,1,0.1743119266055046,0.26146788990825687,0.0,0.1743119266055046,0.3876146788990826,1,0.0,0.0,1.0,107.4,0,0
4132,2,3.0,1,0.1517509727626459,0.245136186770428,0.0,0.19455252918287938,0.4085603112840467,0,0.0,0.0,1.0,64.0,0,0
