essay_id,set,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long,vocab_level,pred_score,prompt_relevence,total_length
12288,5,0,0,2,2,3,2,2,1,1,2,1,3.0,0,7,20
12289,5,1,0,2,2,3,2,2,1,1,2,1,3.2,0,23,43
12290,5,2,0,2,2,3,3,2,2,4,1,1,16.8,1,38,64
12291,5,0,0,2,2,3,2,2,1,4,1,1,5.5,0,7,15
12292,5,0,0,2,2,3,2,2,2,1,4,1,10.0,0,4,8
12293,5,0,0,2,2,3,2,2,1,4,1,1,6.8,0,4,11
12294,5,0,0,2,2,3,2,2,2,4,1,1,9.7,0,19,45
12295,5,0,0,2,2,3,2,2,1,1,4,1,30.9,0,0,1
12296,5,0,0,2,2,3,2,2,1,1,4,1,62.0,0,0,2
12297,5,0,0,2,2,3,2,2,1,4,1,1,18.4,0,1,15
12298,5,0,0,2,2,3,2,2,1,4,1,1,9.9,0,9,21
12299,5,1,0,2,2,3,2,2,2,1,2,1,3.5,0,8,23
12300,5,0,0,2,2,3,2,2,1,1,4,1,17.8,0,0,5
12301,5,0,0,2,2,3,2,2,1,4,1,1,6.5,0,8,21
12302,5,0,0,2,2,3,2,2,1,1,2,1,7.2,0,27,46
12303,5,0,0,2,2,3,2,2,2,4,1,1,14.5,0,9,20
12304,5,0,0,2,2,3,2,2,1,4,1,1,10.4,0,5,16
12305,5,0,0,2,3,3,2,2,1,1,2,1,12.2,0,13,23
12306,5,0,0,2,2,3,2,2,1,1,4,1,2.9,0,4,10
12307,5,0,0,2,2,3,2,2,1,1,4,1,54.4,0,0,1
12308,5,0,0,3,2,3,2,2,1,4,1,1,7.1,0,9,25
12309,5,0,0,2,2,3,3,2,1,4,2,2,12.7,0,17,52
12310,5,0,0,2,2,3,2,2,1,4,1,1,9.8,0,12,24
12311,5,0,0,2,2,3,2,2,1,4,4,4,19.7,0,23,44
12312,5,0,0,2,2,3,2,2,1,1,4,1,-2.1,0,1,1
12313,5,0,0,2,2,3,2,2,2,1,4,1,7.0,0,1,7
12314,5,1,0,2,2,3,2,2,1,1,2,1,1.5,0,8,22
12315,5,0,0,2,2,3,2,2,1,1,4,1,-4.3,0,3,6
12316,5,0,0,2,2,3,2,2,1,1,4,1,242.8,0,0,1
12317,5,1,0,2,2,3,2,2,2,2,1,1,4.0,0,17,38
12318,5,1,0,2,2,3,2,2,2,1,2,1,3.7,0,11,33
12319,5,0,0,2,2,3,2,2,1,1,4,1,5.9,0,6,9
