essay_id,set,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long,vocab_level,pred_score,prompt_relevence,total_length
24576,9,1,0,2,2,3,2,2,2,4,1,1,8.2,0,26,36
24577,9,2,0,2,2,3,3,2,1,1,2,1,7.5,1,17,27
24578,9,2,0,2,2,3,2,2,2,2,2,1,7.9,1,78,159
24579,9,2,0,2,2,3,2,2,2,4,1,1,8.7,1,30,46
24580,9,1,0,2,2,3,2,2,2,4,1,1,11.1,0,11,19
24581,9,0,0,2,2,3,2,2,2,4,1,1,8.4,0,7,17
24582,9,2,0,3,2,3,2,2,2,4,1,1,13.4,1,47,96
24583,9,0,0,2,2,3,2,2,2,4,1,1,4.5,0,11,17
24584,9,0,0,2,2,3,2,2,2,4,1,1,6.4,0,11,18
24585,9,2,0,2,2,3,2,2,2,2,1,1,8.8,1,45,67
24586,9,0,0,2,2,3,2,2,2,1,2,1,1.9,0,19,34
24587,9,2,0,2,2,3,2,2,2,2,1,1,6.5,1,30,58
24588,9,1,0,2,2,3,2,2,2,4,1,1,12.0,0,16,23
24589,9,2,0,2,2,3,2,2,2,2,1,1,6.4,1,78,124
24590,9,1,0,2,2,3,2,2,2,2,2,1,6.7,0,10,21
24591,9,1,0,2,2,3,2,2,2,2,1,1,7.4,0,30,68
24592,9,2,0,2,2,3,2,2,2,4,1,1,9.2,1,32,68
24593,9,2,0,2,2,3,2,3,2,2,1,1,7.6,1,37,71
24594,9,2,0,2,2,3,2,2,2,2,2,1,7.1,1,12,19
24595,9,1,0,2,2,3,2,2,2,4,1,1,9.8,0,33,56
24596,9,2,0,2,2,3,2,2,2,1,2,1,8.1,1,60,102
24597,9,1,0,2,2,3,2,2,2,2,2,1,5.5,0,19,41
24598,9,1,0,2,2,3,3,2,2,4,1,1,10.3,0,56,99
24599,9,1,0,2,2,3,2,2,2,1,2,1,3.1,0,0,2
24600,9,0,0,2,2,3,2,2,2,4,1,1,5.1,0,9,16
24601,9,1,0,3,2,3,2,2,2,4,2,2,13.7,0,42,66
24602,9,1,0,2,2,3,3,2,2,2,1,1,6.1,0,53,114
24603,9,1,0,2,2,3,2,2,2,4,2,2,9.9,0,27,47
24604,9,2,0,3,2,3,2,2,2,1,2,1,7.9,1,19,37
24605,9,2,0,2,2,3,2,2,2,2,2,1,4.2,1,53,74
24606,9,0,0,2,2,3,2,2,2,4,1,1,6.1,0,9,13
24607,9,2,0,2,2,3,3,2,2,4,1,1,12.9,1,19,44
24608,9,1,0,2,2,3,2,2,2,4,1,1,6.3,0,27,39
24609,9,2,0,2,3,2,2,2,2,2,1,1,8.6,1,34,61
24610,9,1,0,2,2,3,2,2,2,1,2,1,6.7,0,4,8
