essay_id,set,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long,vocab_level,pred_score,prompt_relevence,total_length
16954,7,1,0,2,2,3,3,2,2,4,1,1,10.4,0,19,26
16955,7,1,0,2,2,3,2,2,2,2,2,1,4.9,0,25,40
16956,7,2,0,2,2,3,2,3,2,2,2,1,7.7,1,49,81
16957,7,2,0,2,2,3,2,2,1,2,2,1,8.9,1,57,85
16958,7,1,0,2,2,3,2,2,2,1,2,2,6.2,0,51,78
16959,7,0,0,2,2,3,2,2,2,2,2,1,6.3,0,24,36
16960,7,2,0,2,2,3,2,2,2,4,1,1,12.3,1,47,83
16961,7,0,0,2,2,3,2,2,2,4,1,1,8.5,0,10,12
16962,7,0,0,2,2,3,2,2,2,4,1,1,8.8,0,44,64
16963,7,1,0,2,2,3,2,2,1,4,2,2,13.7,0,25,37
16964,7,0,0,2,2,3,2,2,2,2,2,1,1.6,0,24,36
16965,7,2,0,2,2,3,2,2,2,2,4,2,12.5,1,55,90
16966,7,2,0,2,2,3,2,2,2,4,1,1,7.1,1,16,22
16967,7,0,0,2,2,3,2,2,2,2,2,2,8.0,0,28,45
16968,7,0,0,2,2,3,2,2,2,4,1,1,8.6,0,30,43
16969,7,0,0,2,2,3,2,2,2,4,1,1,16.1,0,22,35
16970,7,0,0,2,2,3,2,3,2,2,2,1,2.0,0,11,16
16971,7,0,0,2,2,3,2,2,2,2,2,1,8.4,0,31,48
16972,7,0,0,2,2,3,2,3,2,1,4,1,2.7,0,45,56
16973,7,1,0,3,2,3,2,3,1,2,2,1,5.2,0,28,41
16974,7,1,0,2,2,3,2,2,1,2,2,1,5.3,0,39,57
16975,7,1,0,2,2,3,2,2,2,4,1,1,7.8,0,62,86
16976,7,0,0,2,2,3,2,2,1,2,2,1,7.1,0,54,94
16977,7,2,0,2,2,3,3,3,2,4,2,2,16.6,1,48,69
16978,7,1,0,2,2,3,2,2,2,2,2,1,4.5,0,41,55
16979,7,2,0,2,2,3,2,2,2,1,3,1,2.1,1,34,45
16980,7,1,0,2,2,3,2,2,2,1,4,1,3.8,0,25,32
16981,7,1,0,2,2,3,2,2,2,2,2,1,6.4,0,56,76
16982,7,2,0,2,2,3,2,2,2,2,2,1,8.4,1,21,34
16983,7,0,0,2,2,3,2,2,2,4,2,2,16.1,0,32,40
16984,7,2,0,2,2,3,3,2,2,4,1,1,9.8,1,55,87
16985,7,2,0,2,3,3,3,2,2,2,2,1,6.6,1,54,88
16986,7,0,0,2,2,3,2,2,2,4,1,1,4.3,0,22,31
16987,7,1,0,2,2,3,2,2,2,1,4,1,1.7,0,15,28
16988,7,0,0,2,3,3,2,2,2,1,3,1,3.3,0,40,58
16989,7,0,0,2,2,3,2,2,2,4,1,1,11.1,0,17,29
16990,7,1,0,2,2,3,2,2,1,2,2,1,7.4,0,11,19
16991,7,0,0,2,2,3,2,2,2,2,2,1,-0.1,0,11,16
16992,7,0,0,2,2,3,2,2,2,4,1,1,7.7,0,17,35
16993,7,2,0,2,2,3,2,2,2,2,2,1,6.9,1,24,34
16994,7,0,0,2,2,3,2,2,2,4,1,1,11.4,0,42,66
16995,7,1,0,2,2,3,2,2,2,4,1,1,10.6,0,46,61
16996,7,0,0,2,2,3,2,2,2,4,1,1,6.5,0,13,16
16997,7,0,0,2,2,3,2,2,2,4,1,1,5.4,0,13,14
16998,7,2,0,2,2,3,2,2,2,1,2,1,5.9,1,3,8
16999,7,1,0,2,2,3,2,2,2,4,1,1,16.4,0,20,35
17000,7,0,0,2,3,3,2,2,2,4,1,1,3.8,0,7,11
17001,7,0,0,2,2,3,2,2,2,1,2,1,10.4,0,5,10
17002,7,1,0,2,2,3,2,2,2,2,2,1,11.0,0,30,37
17003,7,0,0,3,2,3,2,2,1,4,1,1,9.6,0,47,61
17004,7,0,0,2,2,3,2,2,2,4,1,1,12.9,0,19,31
17005,7,0,0,2,2,3,2,2,2,4,1,1,9.3,0,13,20
17006,7,0,0,2,2,3,2,2,2,1,2,1,14.6,0,1,3
17007,7,0,0,2,3,3,2,2,2,2,2,1,5.4,0,19,28
17008,7,0,0,2,2,3,2,2,2,1,2,1,1.8,0,1,4
17009,7,0,0,2,3,3,2,2,2,2,4,2,11.9,0,29,63
17010,7,1,0,2,2,3,2,2,2,4,1,1,10.6,0,47,69
17011,7,1,0,2,2,3,2,2,2,4,1,1,9.9,0,27,43
17012,7,0,0,2,2,3,3,2,1,4,2,2,14.3,0,44,66
17013,7,0,0,3,2,3,2,2,2,1,2,1,6.6,0,9,10
17014,7,0,0,2,2,3,2,2,2,2,2,1,6.3,0,30,48
17015,7,1,0,2,2,3,2,2,2,4,1,1,11.9,0,23,50
17016,7,2,0,2,2,3,2,2,2,2,1,1,6.8,1,78,119
17017,7,0,0,2,3,3,2,2,1,2,2,1,4.4,0,35,52
17018,7,2,0,2,2,3,3,2,2,4,1,1,10.4,1,29,48
17019,7,2,0,2,2,3,2,2,2,4,1,1,5.9,1,16,19
17020,7,1,0,2,2,3,2,2,2,2,2,1,9.0,0,44,65
17021,7,0,0,2,2,3,2,2,2,1,2,1,2.2,0,22,24
17022,7,0,0,2,3,3,2,2,2,2,2,1,3.8,0,17,23
17023,7,1,0,2,2,3,2,2,2,4,1,1,11.2,0,21,28
17024,7,0,0,2,2,3,2,2,2,1,2,1,-2.1,0,0,1
17025,7,0,0,2,2,3,2,2,2,1,2,1,4.0,0,13,15
17026,7,2,0,2,2,3,2,2,2,4,1,1,7.1,1,21,33
17027,7,1,0,2,2,3,2,2,2,4,1,1,11.9,0,15,27
17028,7,2,0,2,3,3,2,2,2,4,2,2,20.9,1,29,46
17029,7,2,0,2,2,3,2,2,2,4,1,1,7.3,1,60,98
17030,7,1,0,2,2,3,2,2,2,4,1,1,12.2,0,16,26
17031,7,0,0,3,2,3,3,2,2,4,2,2,16.9,0,29,40
17032,7,0,0,2,2,3,3,2,2,4,1,1,9.7,0,10,22
17033,7,2,0,2,2,3,2,2,2,2,2,1,7.2,1,29,48
17034,7,2,0,2,2,3,2,2,2,1,2,1,2.8,1,10,12
17035,7,0,0,2,2,3,2,3,2,4,1,1,13.5,0,19,25
17036,7,0,0,2,2,3,2,2,2,4,1,1,17.3,0,20,35
17037,7,0,0,2,2,3,2,2,2,4,1,1,11.6,0,21,40
17038,7,0,0,2,3,3,2,3,2,4,1,1,6.9,0,27,39
17039,7,0,0,2,2,3,2,2,2,4,1,1,17.9,0,18,30
17040,7,0,0,2,2,3,2,2,2,2,2,1,5.1,0,17,27
17041,7,0,0,2,2,2,2,2,2,4,1,1,14.5,0,9,18
17042,7,1,0,2,3,3,2,3,2,2,2,1,3.8,0,56,80
17043,7,0,0,2,2,3,2,3,2,4,1,1,7.0,0,22,32
17044,7,2,0,2,2,3,2,3,2,2,2,1,5.9,1,27,43
17045,7,0,0,2,2,3,2,3,2,1,2,1,5.1,0,17,26
17046,7,0,0,2,2,3,2,2,2,2,2,1,2.5,0,25,25
17047,7,0,0,2,2,2,2,2,2,1,4,1,7.1,0,29,49
17048,7,2,0,2,2,3,2,3,2,2,1,1,10.7,1,75,116
17049,7,0,0,2,2,3,2,2,2,4,2,2,11.2,0,35,52
17050,7,1,0,2,2,3,2,2,1,1,2,2,8.8,0,36,58
17051,7,1,0,2,2,3,3,2,2,2,2,1,6.5,0,62,84
17052,7,2,0,2,2,3,2,2,2,2,2,1,6.3,1,14,22
17053,7,0,0,2,2,3,2,2,2,2,2,1,6.1,0,34,65
17054,7,0,0,2,2,3,2,2,2,1,2,1,2.4,0,9,9
17055,7,2,0,2,2,3,2,2,2,2,2,1,3.7,1,23,31
