essay_id,set,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long,vocab_level,pred_score,prompt_relevence,total_length
2788,2,1,0,2,3,3,2,2,1,2,1,1,6.6,0,22,56
2789,2,3,0,2,2,3,2,2,1,4,1,1,10.6,1,21,59
2790,2,1,0,3,3,3,2,2,1,4,1,1,13.2,0,9,24
2791,2,1,0,2,2,3,2,2,1,4,1,1,9.4,0,27,60
2792,2,3,0,2,2,3,2,2,2,2,1,1,6.1,1,31,73
2793,2,2,0,2,2,3,2,2,1,4,4,3,10.9,1,19,46
2794,2,1,0,2,2,3,2,2,1,4,1,1,10.4,0,25,63
2795,2,2,0,2,2,3,2,2,2,4,1,1,8.1,1,32,81
2796,2,2,0,2,2,3,2,2,1,4,1,1,8.3,1,27,61
2797,2,3,0,2,2,3,2,2,1,2,1,1,10.4,1,31,75
2798,2,3,0,2,3,3,2,2,1,2,1,1,12.1,1,20,52
2799,2,1,0,2,2,3,3,2,1,4,2,2,14.9,0,28,62
2800,2,3,0,3,2,3,3,2,1,2,1,1,7.9,1,19,47
2801,2,3,0,2,2,3,2,2,2,4,1,1,9.8,1,39,80
2802,2,1,0,2,2,3,2,2,1,4,1,1,9.9,0,36,68
2803,2,3,0,3,2,3,2,2,2,4,1,1,11.7,1,36,93
2804,2,2,0,2,2,3,2,2,1,4,1,1,11.0,1,29,65
2805,2,0,0,2,2,3,2,2,2,4,1,1,8.8,0,17,35
2806,2,1,0,2,2,3,3,2,1,4,1,1,8.9,0,22,53
2807,2,3,1,2,3,3,3,2,2,4,1,1,11.4,1,40,88
2808,2,1,1,2,2,3,3,2,1,1,2,1,5.3,0,33,86
2809,2,0,0,2,2,3,2,2,1,4,1,1,10.0,0,17,45
2810,2,1,0,2,2,3,2,2,1,2,1,1,8.9,0,29,72
2811,2,3,0,2,3,3,2,2,1,4,1,1,5.6,1,16,46
2812,2,1,0,2,2,3,2,2,1,2,4,2,12.2,0,20,51
