essay_id,set,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long,vocab_level,pred_score,prompt_relevence,total_length
13959,6,0,0,2,2,3,2,2,1,4,1,1,3.4,0,9,29
13960,6,0,0,2,2,3,2,2,2,1,3,1,17.8,0,0,3
13961,6,0,0,2,2,3,2,2,2,4,1,1,11.9,0,18,49
13962,6,0,0,2,2,3,2,2,2,4,1,1,10.9,0,13,27
13963,6,0,0,2,2,3,2,2,2,4,3,3,6.7,0,21,48
13964,6,0,0,2,2,3,2,2,2,1,2,1,6.4,0,5,22
13965,6,0,0,2,2,3,2,2,2,4,1,1,7.2,0,4,11
13966,6,0,0,2,2,3,2,2,1,4,1,1,5.7,0,12,47
13967,6,0,0,2,2,3,2,2,2,1,3,1,7.8,0,0,2
13968,6,0,0,2,2,3,2,2,2,1,2,1,3.9,0,18,48
13969,6,0,0,2,2,3,2,2,2,4,3,3,8.6,0,15,41
13970,6,0,0,2,2,3,2,2,2,1,3,1,12.4,0,3,4
13971,6,1,0,2,2,3,2,3,2,4,1,1,12.1,0,13,29
13972,6,0,0,2,2,3,2,2,2,1,3,1,5.3,0,5,8
13973,6,0,0,2,2,3,2,2,2,4,1,1,13.1,0,8,19
13974,6,0,0,2,2,3,2,2,2,1,2,1,9.0,0,9,20
13975,6,0,0,2,2,3,2,2,2,1,3,1,20.8,0,3,10
13976,6,0,0,2,2,3,2,3,2,4,1,1,12.6,0,9,21
13977,6,0,0,2,2,3,2,2,2,1,3,1,6.5,0,3,5
13978,6,0,0,2,2,3,3,3,2,4,1,1,9.2,0,25,68
13979,6,0,0,2,2,3,2,2,2,1,3,1,14.9,0,1,2
13980,6,0,0,2,2,3,2,2,2,4,1,1,9.5,0,15,26
13981,6,0,0,2,2,3,2,2,2,4,1,1,12.2,0,7,18
13982,6,0,0,2,2,3,2,2,2,4,1,1,20.2,0,16,33
13983,6,0,0,2,2,3,2,2,2,1,3,1,-3.5,0,2,6
13984,6,0,0,2,2,3,2,2,2,4,1,1,3.2,0,8,13
13985,6,0,0,2,2,3,2,2,2,4,1,1,7.7,0,7,15
13986,6,0,0,2,2,3,2,2,2,2,1,1,10.0,0,34,60
13987,6,0,0,2,2,3,2,2,2,1,3,1,35.6,0,0,1
13988,6,0,0,2,3,3,2,2,2,4,1,1,9.5,0,21,47
13989,6,0,0,2,2,3,3,2,2,4,3,3,11.2,0,14,45
13990,6,0,0,2,2,3,2,2,2,4,1,1,17.7,0,16,23
13991,6,0,0,2,2,3,2,2,2,1,3,1,16.4,0,5,7
13992,6,0,0,2,2,3,2,2,2,1,3,1,12.5,0,0,2
13993,6,0,0,2,2,3,2,2,2,1,3,1,30.9,0,0,1
13994,6,1,0,2,3,3,2,2,2,1,3,1,7.0,0,14,29
13995,6,0,0,2,2,3,2,2,2,1,3,1,7.4,0,1,5
13996,6,0,0,2,2,3,2,2,2,4,1,1,6.8,0,18,39
13997,6,0,0,2,2,3,2,2,2,4,1,1,21.6,0,9,33
13998,6,0,0,2,2,3,2,2,2,2,1,1,6.2,0,17,39
13999,6,0,0,2,2,3,2,2,2,1,2,1,7.9,0,15,30
14000,6,0,0,2,2,3,3,2,2,4,1,1,4.1,0,17,37
14001,6,3,0,2,2,3,2,3,1,1,2,1,9.6,1,24,60
14002,6,0,0,2,2,3,2,2,2,1,3,1,6.1,0,3,8
14003,6,0,0,2,2,3,2,2,2,4,1,1,7.6,0,8,25
14004,6,2,0,2,2,3,3,2,2,1,2,1,10.5,0,22,32
14005,6,0,0,2,2,3,2,2,2,4,1,1,14.9,0,4,15
14006,6,1,0,2,2,3,3,2,2,1,2,1,17.4,0,16,25
14007,6,0,0,2,2,3,2,2,2,1,3,1,16.0,0,3,10
14008,6,0,0,2,2,3,2,2,2,1,2,1,4.4,0,12,34
14009,6,0,0,2,2,3,2,2,1,1,3,1,4.0,0,4,11
14010,6,0,0,2,2,3,2,2,2,1,3,1,13.7,0,0,6
14011,6,0,0,2,2,3,2,2,2,2,1,1,7.6,0,9,37
14012,6,0,0,2,2,3,2,2,2,1,3,1,22.5,0,0,3
14013,6,0,0,2,2,3,3,2,2,4,1,1,4.6,0,12,25
14014,6,3,0,2,2,3,2,2,2,2,1,1,9.6,1,51,81
14015,6,0,0,2,2,3,2,2,2,1,3,1,4.8,0,4,10
14016,6,0,0,2,2,3,2,2,2,1,3,1,19.2,0,6,6
14017,6,0,0,2,2,3,2,2,2,1,3,1,25.6,0,3,3
14018,6,0,0,2,2,3,3,2,2,4,1,1,16.1,0,14,19
14019,6,0,0,2,2,3,2,2,2,4,1,1,8.7,0,10,23
14020,6,0,0,2,2,3,2,2,2,2,1,1,5.0,0,12,43
14021,6,0,0,2,2,3,2,2,2,4,1,1,3.0,0,13,30
14022,6,0,0,2,2,3,2,2,2,4,1,1,8.1,0,4,15
14023,6,2,0,2,2,3,2,2,2,4,1,1,8.5,1,18,30
14024,6,0,0,2,2,3,2,2,1,4,1,1,6.0,0,7,31
14025,6,1,0,2,2,3,2,2,2,4,1,1,7.4,0,35,74
14026,6,0,0,2,2,3,2,2,1,1,3,1,22.4,0,0,6
14027,6,0,0,2,2,3,2,2,2,4,1,1,8.1,0,10,17
14028,6,0,0,2,2,3,2,2,2,4,1,1,5.9,0,11,22
14029,6,0,0,2,2,3,2,2,2,4,1,1,6.9,0,8,19
14030,6,0,0,2,2,3,2,2,2,4,1,1,14.4,0,11,23
14031,6,0,0,2,2,3,2,2,2,1,3,1,19.2,0,0,6
14032,6,0,0,2,2,3,2,2,2,4,1,1,7.2,0,7,23
14033,6,0,0,2,2,3,2,2,2,1,2,1,9.3,0,15,28
14034,6,0,0,2,2,3,2,2,2,4,1,1,16.3,0,14,23
14035,6,0,0,2,2,3,2,2,2,1,3,1,17.8,0,1,5
14036,6,0,0,2,2,3,2,2,2,1,3,1,6.7,0,5,9
14037,6,0,0,2,2,3,2,2,2,4,1,1,12.4,0,12,21
14038,6,0,0,2,2,3,2,2,2,4,1,1,6.6,0,19,36
14039,6,0,0,2,2,3,2,2,2,4,1,1,8.0,0,12,22
14040,6,0,0,2,2,3,2,2,2,4,1,1,8.2,0,6,26
14041,6,0,0,2,2,3,2,2,1,4,1,1,13.0,0,22,33
14042,6,1,0,2,2,3,2,2,2,1,2,1,8.3,0,33,49
14043,6,0,0,2,2,3,2,2,2,4,1,1,6.9,0,4,12
14044,6,0,0,2,2,3,2,2,2,4,1,1,5.5,0,2,15
14045,6,0,0,2,2,3,3,2,2,4,1,1,12.4,0,12,19
14046,6,0,0,2,2,3,2,2,2,1,3,1,21.8,0,0,4
14047,6,0,0,2,2,3,2,2,2,1,3,1,5.1,0,2,9
14048,6,0,0,2,2,3,2,2,2,1,3,1,14.6,0,0,3
14049,6,0,0,2,2,3,2,2,2,1,3,1,13.0,0,5,7
14050,6,0,0,2,2,3,2,2,2,4,1,1,7.4,0,23,58
14051,6,0,0,2,2,3,2,2,2,1,2,1,10.9,0,15,48
14052,6,0,0,3,2,3,2,2,1,1,2,1,3.9,0,15,46
14053,6,0,0,2,2,3,2,2,2,4,1,1,10.6,0,5,17
