essay_id,set,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long,vocab_level
25949,10,2,1,0.20689655172413793,0.20689655172413793,0.0,0.13793103448275862,0.4482758620689655,0,0.0,1.0,0.0,12.6
25950,10,1,1,0.21428571428571427,0.14285714285714285,0.0,0.21428571428571427,0.42857142857142855,0,0.0,1.0,0.0,1.7
25951,10,2,1,0.19230769230769232,0.19230769230769232,0.0,0.17307692307692307,0.4423076923076923,0,0.0,0.0,1.0,22.6
25952,10,1,1,0.11764705882352941,0.2647058823529412,0.0,0.17647058823529413,0.38235294117647056,2,0.0,1.0,0.0,13.4
25953,10,2,1,0.11764705882352941,0.23529411764705882,0.0,0.17647058823529413,0.45098039215686275,1,0.0,0.0,1.0,9.7
25954,10,0,1,0.08333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.4166666666666667,0,0.0,1.0,0.0,1.1
25955,10,1,1,0.10344827586206896,0.2413793103448276,0.0,0.1724137931034483,0.4827586206896552,0,0.0,1.0,0.0,12.2
25956,10,1,1,0.1875,0.25,0.0,0.125,0.4375,0,0.0,1.0,0.0,6.9
25957,10,1,1,0.17647058823529413,0.3333333333333333,0.0,0.1568627450980392,0.3333333333333333,0,0.0,0.0,1.0,24.3
25958,10,2,1,0.10714285714285714,0.32142857142857145,0.0,0.14285714285714285,0.39285714285714285,2,0.0,0.0,1.0,23.3
25959,10,2,1,0.2236842105263158,0.19736842105263158,0.0,0.10526315789473684,0.40789473684210525,5,0.0,0.0,1.0,36.1
25960,10,0,1,0.18181818181818182,0.2727272727272727,0.0,0.09090909090909091,0.45454545454545453,0,0.0,1.0,0.0,11.4
25961,10,1,1,0.058823529411764705,0.23529411764705882,0.0,0.17647058823529413,0.5294117647058824,0,0.0,1.0,0.0,6.8
25962,10,1,1,0.2631578947368421,0.3684210526315789,0.0,0.10526315789473684,0.2631578947368421,0,0.0,1.0,0.0,7.4
25963,10,1,1,0.16,0.32,0.0,0.12,0.36,1,0.0,1.0,0.0,8.2
25964,10,0,1,0.16666666666666666,0.16666666666666666,0.0,0.2,0.4666666666666667,0,0.0,1.0,0.0,13.2
25965,10,0,1,0.12962962962962962,0.2222222222222222,0.0,0.16666666666666666,0.48148148148148145,0,0.0,0.0,1.0,24.2
25966,10,1,1,0.16666666666666666,0.3333333333333333,0.0,0.08333333333333333,0.4166666666666667,0,0.0,1.0,0.0,1.4
25967,10,1,1,0.14634146341463414,0.36585365853658536,0.0,0.12195121951219512,0.36585365853658536,0,0.0,0.0,1.0,17.1
