essay_id,set,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long,vocab_level,pred_score
8192,4,0,1,2,2,3,2,2,2,0.0,1.0,0.0,15.8,0
8193,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,14.6,0
8194,4,1,1,2,3,3,2,2,2,0.0,0.0,1.0,24.9,0
8195,4,0,1,2,2,3,2,3,2,0.0,1.0,0.0,14.1,0
8196,4,2,1,2,2,3,2,2,2,0.0,0.0,1.0,30.6,1
8197,4,2,1,3,2,3,2,2,2,0.0,0.0,1.0,18.9,0
8198,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,21.2,0
8199,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,29.3,0
8200,4,1,1,3,2,3,2,2,1,0.0,0.0,1.0,25.2,0
8201,4,0,1,2,2,3,2,2,2,0.0,0.0,1.0,21.0,0
8202,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,32.5,0
8203,4,0,1,2,2,3,2,2,1,0.0,0.0,1.0,17.0,0
8204,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,32.9,0
8205,4,1,1,2,2,3,2,2,2,0.0,1.0,0.0,17.1,0
8206,4,0,1,2,2,3,2,2,2,0.0,0.0,1.0,21.3,0
8207,4,1,1,2,2,3,2,3,2,0.0,0.0,1.0,35.4,0
8208,4,0,1,2,2,3,2,2,2,0.0,0.0,1.0,30.2,0
8209,4,0,1,2,2,3,3,2,2,0.0,1.0,0.0,14.5,0
8210,4,0,1,2,2,3,2,2,2,0.0,1.0,0.0,11.3,0
8211,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,12.3,0
8212,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,31.2,0
8213,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,30.4,0
8214,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,16.9,0
8215,4,1,1,2,2,3,2,2,2,0.0,1.0,0.0,12.4,0
8216,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,21.7,0
8217,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,22.3,0
8218,4,0,1,2,2,3,2,2,2,0.0,1.0,0.0,20.5,0
8219,4,1,1,2,2,3,2,3,2,0.0,0.0,1.0,11.3,0
8220,4,0,1,2,2,3,2,2,2,0.0,1.0,0.0,13.2,0
8221,4,1,1,3,2,3,2,2,2,0.0,0.0,1.0,24.2,0
8222,4,1,1,2,2,2,2,2,2,0.0,0.0,1.0,26.5,0
8223,4,1,1,2,2,3,3,2,2,0.0,1.0,0.0,13.9,0
8224,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,16.2,0
8225,4,0,1,2,2,3,2,2,2,0.0,1.0,0.0,10.1,0
8226,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,26.2,0
8227,4,1,1,2,2,3,2,2,2,0.0,1.0,0.0,18.4,0
8228,4,1,1,2,2,3,2,3,2,0.0,0.0,1.0,27.2,0
8229,4,0,1,2,2,3,2,2,1,0.0,1.0,0.0,14.4,0
8230,4,0,1,3,2,3,2,2,2,0.0,1.0,0.0,14.2,0
8231,4,0,1,2,2,3,2,2,2,0.0,1.0,0.0,8.1,0
8232,4,1,1,2,2,3,2,2,2,0.0,1.0,0.0,17.2,0
8233,4,1,1,2,2,3,2,2,2,0.0,1.0,0.0,18.9,0
8234,4,0,1,2,2,3,2,2,2,0.0,1.0,0.0,14.9,0
8235,4,1,1,3,2,3,2,2,2,0.0,1.0,0.0,19.9,0
8236,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,18.9,0
8237,4,0,1,2,2,3,2,2,2,0.0,1.0,0.0,17.9,0
8238,4,1,1,3,2,3,2,2,2,0.0,0.0,1.0,20.8,0
8239,4,1,1,2,2,3,2,2,2,0.0,1.0,0.0,12.1,0
8240,4,2,1,2,3,3,2,2,2,0.0,0.0,1.0,14.3,1
8241,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,28.7,0
8242,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,17.6,0
8243,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,24.3,0
8244,4,1,1,3,2,3,2,2,2,0.0,1.0,0.0,11.7,0
8245,4,1,1,2,2,3,2,2,2,0.0,1.0,0.0,12.0,0
8246,4,0,1,2,2,3,2,2,2,0.0,1.0,0.0,10.6,0
8247,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,31.9,0
8248,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,24.8,0
8249,4,1,1,2,2,3,2,2,2,0.0,1.0,0.0,18.3,0
8250,4,0,1,2,2,3,2,2,2,0.0,0.0,1.0,22.7,0
8251,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,22.8,0
8252,4,0,1,2,2,3,2,2,2,0.0,1.0,0.0,19.2,0
8253,4,0,1,2,2,3,3,2,2,0.0,1.0,0.0,7.9,0
8254,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,20.1,0
8255,4,1,1,2,2,3,2,2,2,0.0,1.0,0.0,19.5,0
8256,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,25.5,0
8257,4,2,1,2,3,3,2,3,1,0.0,0.0,1.0,39.6,1
8258,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,23.0,0
8259,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,14.0,0
8260,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,28.8,0
8261,4,1,1,2,2,3,2,2,2,0.0,1.0,0.0,18.1,0
8262,4,1,1,2,3,3,2,2,2,0.0,0.0,1.0,41.4,0
8263,4,0,1,2,3,3,2,2,2,0.0,1.0,0.0,13.3,0
8264,4,0,1,2,2,3,2,2,2,0.0,1.0,0.0,14.7,0
8265,4,1,1,2,3,3,2,2,2,0.0,0.0,1.0,21.8,0
8266,4,0,1,2,2,3,2,2,2,0.0,1.0,0.0,16.2,0
8267,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,27.1,0
8268,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,23.4,0
8269,4,0,1,2,2,3,2,2,2,0.0,1.0,0.0,13.0,0
8270,4,0,1,2,2,3,2,2,1,0.0,0.0,1.0,26.5,0
8271,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,23.9,0
8272,4,0,1,2,2,3,2,2,2,0.0,1.0,0.0,10.9,0
8273,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,21.6,0
8274,4,1,1,2,2,3,2,2,2,0.0,0.0,1.0,11.3,0
8275,4,0,1,2,2,3,2,2,2,0.0,0.0,1.0,34.0,0
8276,4,0,1,2,2,3,2,2,2,0.0,1.0,0.0,17.2,0
8277,4,1,1,2,2,3,2,2,2,0.0,1.0,0.0,12.6,0
