essay_id,set,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long,vocab_level
20480,8,1,1,2,2,2,2,2,2,0.0,1.0,0.0,1.2,0
20481,8,2,1,2,2,3,2,2,2,0.0,0.0,1.0,8.9,1
20482,8,0,1,2,2,2,2,2,2,0.0,0.0,1.0,17.2,0
20483,8,2,1,2,2,2,2,2,2,0.0,0.0,1.0,8.7,1
20484,8,0,1,2,2,2,2,3,2,0.0,0.0,1.0,8.0,0
20485,8,2,1,2,2,2,2,2,2,0.0,0.0,1.0,6.3,1
20486,8,0,1,2,2,3,2,2,2,0.0,0.0,1.0,7.7,0
20487,8,0,1,2,2,2,2,2,2,0.0,0.0,1.0,5.0,0
20488,8,1,1,2,2,2,2,2,2,0.0,0.0,1.0,5.9,0
20489,8,1,1,2,2,2,2,2,2,0.0,1.0,0.0,6.9,0
20490,8,2,1,2,2,2,2,2,2,0.0,0.0,1.0,5.2,1
20491,8,2,1,2,2,2,2,2,2,0.0,1.0,0.0,0.8,0
20492,8,2,1,2,2,2,2,2,2,0.0,0.0,1.0,11.0,1
20493,8,0,1,2,2,2,3,2,2,0.0,1.0,0.0,3.6,0
20494,8,1,1,2,3,3,2,2,2,0.0,0.0,1.0,7.0,0
20495,8,2,1,2,3,2,2,2,2,0.0,0.0,1.0,10.1,1
20496,8,0,1,3,2,2,3,2,2,0.0,1.0,0.0,16.4,0
20497,8,2,1,2,3,2,2,2,2,0.0,1.0,0.0,3.8,1
20498,8,2,1,2,2,2,2,2,2,0.0,0.0,1.0,11.3,1
20499,8,1,1,2,2,2,2,2,2,0.0,1.0,0.0,0.7,0
20500,8,2,1,2,2,2,2,2,1,0.0,0.0,1.0,14.9,1
20501,8,2,1,2,3,2,2,2,2,0.0,0.0,1.0,11.0,1
20502,8,0,1,2,2,2,2,2,2,1.0,0.0,0.0,5.0,0
20503,8,2,1,2,2,2,3,2,2,0.0,0.0,1.0,5.7,1
20504,8,2,1,2,2,2,2,2,2,0.0,0.0,1.0,8.1,1
20505,8,2,1,2,2,3,2,2,2,0.0,0.0,1.0,7.1,1
20506,8,0,1,2,2,3,2,2,2,0.0,0.0,1.0,12.3,0
20507,8,2,1,2,2,2,2,2,2,0.0,0.0,1.0,8.2,1
20508,8,1,1,2,2,2,2,2,2,0.0,1.0,0.0,4.7,0
20509,8,2,1,2,2,2,2,2,2,0.0,0.0,1.0,6.0,1
20510,8,0,1,2,2,2,2,3,2,0.0,1.0,0.0,2.6,0
20511,8,1,1,2,2,2,2,2,2,0.0,1.0,0.0,0.5,0
20512,8,2,1,2,2,2,2,2,2,0.0,1.0,0.0,4.0,1
20513,8,1,1,2,2,2,2,2,2,0.0,0.0,1.0,2.5,0
20514,8,0,1,2,2,2,2,2,2,0.0,1.0,0.0,4.2,0
20515,8,2,1,2,2,3,3,2,2,0.0,0.0,1.0,7.3,1
20516,8,2,1,2,2,2,3,2,2,0.0,0.0,1.0,7.4,1
20517,8,0,1,2,2,2,2,2,2,0.0,1.0,0.0,14.2,0
20518,8,0,1,2,2,2,2,2,2,1.0,0.0,0.0,2.6,0
20519,8,2,1,2,2,2,2,2,2,0.0,0.0,1.0,6.2,1
20520,8,1,1,2,2,2,2,2,2,0.0,1.0,0.0,5.3,0
20521,8,0,1,2,2,2,2,2,2,0.0,1.0,0.0,15.6,0
20522,8,1,1,2,2,2,2,3,2,0.0,1.0,0.0,4.9,0
20523,8,0,1,2,2,2,3,2,2,0.0,1.0,0.0,7.0,0
20524,8,0,1,2,2,2,2,2,2,0.0,0.0,1.0,7.1,0
20525,8,0,1,2,2,2,2,3,2,0.0,0.0,1.0,7.0,0
