essay_id,set,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long,vocab_level,pred_score
4918,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,30.8,0
4919,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,30.6,0
4920,3,1,1,2,2,3,2,2,2,0.0,1.0,0.0,19.9,0
4921,3,2,1,2,2,3,2,2,2,0.0,1.0,0.0,19.0,1
4922,3,0,1,2,2,3,2,2,2,0.0,1.0,0.0,14.9,0
4923,3,1,1,2,2,3,2,2,2,0.0,1.0,0.0,8.0,0
4924,3,2,1,2,2,3,2,3,2,0.0,0.0,1.0,33.5,1
4925,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,30.6,0
4926,3,1,1,2,3,3,2,2,1,0.0,0.0,1.0,11.6,0
4927,3,1,1,2,2,3,2,2,2,0.0,1.0,0.0,17.6,0
4928,3,2,1,2,2,3,2,2,2,0.0,0.0,1.0,14.8,1
4929,3,1,1,2,2,3,2,2,1,0.0,0.0,1.0,29.0,0
4930,3,1,1,2,2,3,3,2,1,0.0,0.0,1.0,34.2,0
4931,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,27.1,0
4932,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,22.8,0
4933,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,25.0,0
4934,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,29.8,0
4935,3,1,1,2,3,3,2,2,2,0.0,0.0,1.0,45.2,0
4936,3,2,1,2,2,3,2,2,2,0.0,0.0,1.0,25.8,1
4937,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,35.8,0
4938,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,29.9,0
4939,3,1,1,2,3,3,2,2,2,0.0,0.0,1.0,23.4,0
4940,3,1,1,2,2,3,2,2,1,0.0,0.0,1.0,29.3,0
4941,3,0,1,2,2,3,2,2,2,0.0,0.0,1.0,24.5,0
4942,3,0,1,2,2,3,2,2,2,0.0,0.0,1.0,31.7,0
4943,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,29.1,0
4944,3,2,1,2,2,3,2,2,2,0.0,0.0,1.0,25.2,1
4945,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,20.8,0
4946,3,2,1,2,2,3,2,2,2,0.0,0.0,1.0,23.5,1
4947,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,21.4,0
4948,3,2,1,2,2,3,2,2,2,0.0,0.0,1.0,24.2,1
4949,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,21.9,0
4950,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,14.5,0
4951,3,0,1,2,3,3,2,2,1,0.0,0.0,1.0,31.0,0
4952,3,0,1,3,2,3,2,2,2,0.0,0.0,1.0,30.8,0
4953,3,0,1,2,2,3,2,2,2,0.0,1.0,0.0,16.1,0
4954,3,1,1,2,2,3,2,2,2,0.0,1.0,0.0,10.5,0
4955,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,21.7,0
4956,3,2,1,2,2,3,2,3,2,0.0,0.0,1.0,21.6,1
4957,3,1,1,2,3,3,3,2,2,0.0,0.0,1.0,8.2,0
4958,3,1,1,2,2,3,3,2,2,0.0,1.0,0.0,15.8,0
4959,3,1,1,2,2,3,2,2,2,0.0,1.0,0.0,12.6,0
4960,3,1,1,2,3,3,2,3,1,0.0,0.0,1.0,27.7,0
4961,3,2,1,2,2,3,2,2,2,0.0,0.0,1.0,18.6,1
4962,3,1,1,2,2,3,2,3,2,0.0,0.0,1.0,22.3,0
4963,3,0,1,2,2,3,3,2,2,0.0,0.0,1.0,21.3,0
4964,3,1,1,2,2,3,2,3,1,0.0,0.0,1.0,26.5,0
4965,3,0,1,2,2,3,2,3,2,0.0,0.0,1.0,30.5,0
4966,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,19.0,0
4967,3,1,1,2,2,3,3,2,2,0.0,0.0,1.0,26.3,0
4968,3,0,1,2,2,3,2,2,2,0.0,1.0,0.0,13.7,0
4969,3,1,1,2,2,3,2,2,1,0.0,0.0,1.0,26.7,0
4970,3,0,1,2,2,3,2,2,2,0.0,0.0,1.0,24.2,0
4971,3,1,1,2,2,3,2,2,2,0.0,1.0,0.0,12.7,0
4972,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,22.1,0
4973,3,1,1,2,2,3,2,2,2,0.0,1.0,0.0,11.8,0
4974,3,2,1,2,2,3,2,3,1,0.0,0.0,1.0,28.7,1
4975,3,1,1,3,2,3,3,2,2,0.0,0.0,1.0,29.4,0
4976,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,25.0,0
4977,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,22.1,0
4978,3,1,1,2,2,3,2,2,2,0.0,1.0,0.0,15.4,0
4979,3,2,1,2,3,3,2,2,2,0.0,0.0,1.0,22.1,1
4980,3,2,1,3,2,3,2,2,2,0.0,0.0,1.0,25.8,1
4981,3,1,1,3,2,3,2,2,2,0.0,0.0,1.0,33.5,0
4982,3,1,1,3,2,3,2,2,2,0.0,0.0,1.0,27.8,0
4983,3,1,1,2,3,3,2,2,2,0.0,0.0,1.0,28.7,0
4984,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,36.5,0
4985,3,1,1,3,2,3,2,2,2,0.0,0.0,1.0,19.1,0
4986,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,25.5,0
4987,3,0,1,2,2,3,2,2,2,0.0,1.0,0.0,17.0,0
4988,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,24.8,0
4989,3,0,1,2,2,3,2,2,1,0.0,0.0,1.0,13.6,0
4990,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,30.8,0
4991,3,1,1,2,2,3,3,3,2,0.0,0.0,1.0,29.9,0
4992,3,1,1,2,2,3,2,2,2,0.0,1.0,0.0,16.8,0
4993,3,0,1,2,2,3,2,2,2,0.0,0.0,1.0,25.8,0
4994,3,0,1,2,2,3,2,2,2,0.0,0.0,1.0,22.9,0
4995,3,1,1,2,2,3,2,2,2,0.0,0.0,1.0,30.4,0
4996,3,2,1,2,2,3,2,2,2,0.0,1.0,0.0,15.3,1
4997,3,0,1,2,2,3,2,2,2,0.0,0.0,1.0,19.1,0
4998,3,2,1,2,2,3,2,2,2,0.0,0.0,1.0,29.3,1
