essay_id,set,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long,vocab_level,new_score,pred_score,prompt_relevance,total_length
12288,5,2.0,1,2,2,2,2,2,2,4,1,1,7.7,0,0,43,74
12289,5,1.0,0,2,2,3,2,2,2,4,1,1,7.8,0,0,30,40
12290,5,3.0,1,2,2,3,2,2,1,2,1,1,9.9,1,0,105,161
12291,5,3.0,1,2,2,2,3,2,1,2,1,1,8.3,1,0,90,144
12292,5,2.0,0,2,2,3,2,2,2,1,1,1,6.8,0,0,44,71
12293,5,3.0,0,2,2,2,2,3,2,2,1,1,9.9,1,0,112,177
12294,5,0.0,1,2,2,3,2,2,2,2,1,1,8.3,0,0,60,88
12295,5,3.0,0,2,2,3,3,2,2,2,1,1,8.8,1,1,113,163
12296,5,3.0,1,2,2,3,2,2,2,2,1,1,9.0,1,1,139,199
12297,5,3.0,0,2,2,2,2,2,2,2,1,1,12.8,1,1,142,227
12298,5,2.0,1,2,2,3,2,2,2,2,2,1,14.9,0,0,70,95
12299,5,4.0,0,2,2,3,2,3,1,2,1,1,10.1,1,1,163,270
12300,5,2.0,0,2,2,3,2,2,2,4,1,1,9.5,0,0,67,106
12301,5,1.0,0,2,2,2,2,2,1,2,1,1,8.4,0,0,72,94
12302,5,2.0,0,2,2,2,2,2,2,4,1,1,11.3,0,0,86,125
12303,5,2.0,1,2,2,2,2,2,2,2,1,1,8.6,0,0,79,119
12304,5,1.0,0,2,2,3,2,2,2,1,2,1,1.7,0,0,37,69
12305,5,3.0,1,2,2,2,2,2,2,4,1,1,11.3,1,0,79,152
12306,5,2.0,0,2,2,2,2,3,2,4,1,1,8.0,0,0,35,51
12307,5,1.0,1,2,2,2,2,2,2,2,1,1,4.9,0,0,130,211
12308,5,2.0,1,3,2,3,3,2,2,2,1,1,8.4,0,0,57,94
12309,5,3.0,1,2,2,3,2,2,2,4,1,1,10.8,1,1,149,207
12310,5,2.0,0,2,2,3,3,2,2,2,1,1,7.4,0,0,123,199
12311,5,1.0,0,2,2,3,3,2,2,4,1,1,12.3,0,0,20,28
12312,5,4.0,0,2,2,2,2,2,2,4,1,1,14.5,1,0,114,184
12313,5,3.0,0,2,2,2,3,2,2,3,1,1,7.8,1,0,117,179
12314,5,2.0,0,2,3,2,3,2,2,1,2,1,8.5,0,0,37,78
12315,5,2.0,0,2,2,2,2,2,2,1,1,1,5.0,0,0,68,126
12316,5,1.0,0,2,2,2,2,2,2,4,1,1,10.0,0,0,44,80
12317,5,1.0,0,2,3,2,2,2,1,2,1,1,7.8,0,0,75,125
12318,5,4.0,1,2,2,3,2,2,2,4,1,1,7.7,1,1,101,159
12319,5,3.0,1,2,2,3,2,2,2,2,2,1,7.2,1,0,53,82
12320,5,2.0,0,2,2,3,2,2,2,4,1,1,9.2,0,0,48,86
12321,5,2.0,1,2,2,2,2,2,2,3,1,1,9.8,0,0,105,188
12322,5,1.0,0,2,2,2,2,2,2,2,2,1,11.2,0,0,49,69
12323,5,3.0,0,2,2,3,2,2,2,2,1,1,6.7,1,0,73,106
12324,5,3.0,0,3,3,2,2,2,2,4,1,1,12.5,1,0,74,127
12325,5,1.0,1,2,2,3,2,2,2,4,1,1,6.4,0,0,37,57
12326,5,3.0,0,2,2,3,3,2,2,4,2,2,27.8,1,0,130,176
12327,5,3.0,1,2,2,2,2,2,2,4,2,2,14.5,1,0,93,154
12328,5,2.0,0,2,2,2,2,2,2,2,1,1,9.4,0,0,62,119
12329,5,2.0,0,2,2,3,2,2,2,2,1,1,8.7,0,0,71,104
12330,5,2.0,0,3,2,3,2,2,2,2,1,1,9.1,0,0,73,105
12331,5,1.0,1,2,2,3,3,2,2,1,2,1,5.1,0,0,38,64
12332,5,2.0,1,2,2,3,2,2,2,2,1,1,6.7,0,0,65,130
12333,5,1.0,1,2,3,3,2,2,2,4,1,1,7.6,0,0,42,61
12334,5,3.0,0,2,2,2,2,2,2,2,1,1,11.3,1,0,122,182
12335,5,2.0,0,2,2,3,3,2,2,2,1,1,7.9,0,0,68,118
12336,5,1.0,0,2,2,3,2,2,2,1,1,1,3.1,0,0,34,47
12337,5,2.0,1,2,2,2,2,2,2,2,2,1,14.6,0,0,48,97
12338,5,2.0,1,2,2,2,2,2,1,2,1,1,7.7,0,0,58,103
12339,5,3.0,0,2,2,2,2,2,2,4,1,1,7.7,1,0,54,97
12340,5,3.0,1,2,3,3,2,3,2,4,1,1,11.0,1,1,213,309
12341,5,2.0,1,2,2,3,2,2,2,1,2,1,2.7,0,0,52,79
12342,5,1.0,1,3,2,3,2,2,2,4,1,1,11.1,0,0,51,74
12343,5,4.0,0,2,2,3,2,2,2,2,1,1,9.7,1,1,161,277
12344,5,1.0,0,2,2,3,3,2,2,4,4,4,18.6,0,0,28,41
12345,5,0.0,0,2,2,2,3,2,2,2,1,1,2.9,0,0,26,38
12346,5,1.0,1,2,2,3,2,2,2,1,1,1,5.5,0,0,31,52
12347,5,3.0,0,2,2,2,2,2,2,4,1,1,13.0,1,0,113,181
12348,5,3.0,0,2,2,3,3,3,2,4,1,1,11.7,1,0,115,183
12349,5,1.0,0,2,2,2,2,2,2,4,1,1,7.4,0,0,67,118
12350,5,3.0,0,2,2,2,2,2,2,2,1,1,13.7,1,0,118,184
12351,5,2.0,1,2,2,3,2,2,1,4,1,1,12.7,0,0,88,124
