essay_id,set,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long,vocab_level,new_score,pred_score,prompt_relevance,total_length
17834,7,8.0,0,2,2,2,2,3,2,4,1,1,3.5,0,0,23,90
17836,7,6.0,0,2,2,2,2,2,1,4,1,1,12.5,0,0,30,94
17837,7,7.0,1,2,2,2,2,2,1,4,4,4,16.5,0,0,42,156
17838,7,8.0,0,2,3,2,3,2,1,2,2,1,6.6,0,0,39,218
17839,7,7.0,1,2,2,2,2,2,1,2,1,1,5.4,0,0,28,151
17840,7,11.0,0,2,2,2,2,2,2,1,2,1,5.4,1,0,41,342
17841,7,8.0,0,2,2,2,3,2,1,2,1,1,4.1,0,0,46,170
17842,7,9.0,0,2,2,2,2,2,1,2,1,1,8.0,0,0,35,126
17843,7,8.0,0,3,2,2,2,2,2,4,2,2,4.8,0,0,125,359
17844,7,4.0,0,2,2,3,3,2,1,1,2,1,1.8,0,0,29,88
17845,7,8.0,0,2,2,3,2,2,1,2,1,1,4.9,0,0,56,177
17846,7,9.0,1,2,2,2,2,2,2,2,1,1,4.9,0,0,33,119
17847,7,9.0,0,2,2,2,2,2,2,2,1,1,5.3,0,0,50,187
17849,7,6.0,0,2,2,2,2,2,1,2,1,1,4.6,0,0,41,165
17850,7,5.0,0,2,2,2,2,2,1,4,2,2,18.4,0,0,49,166
17851,7,8.0,0,3,2,2,2,2,2,1,2,1,2.7,0,0,50,168
17852,7,9.0,1,2,2,2,2,2,1,2,1,1,4.8,0,0,49,226
17853,7,8.0,0,2,2,2,2,2,1,1,2,1,6.8,0,0,17,93
17854,7,10.0,0,3,3,2,2,3,2,2,1,1,4.3,0,0,37,182
17856,7,6.0,0,2,2,3,2,2,1,1,2,1,1.6,0,0,39,139
17857,7,9.0,1,2,2,2,2,3,1,2,1,1,5.3,0,0,45,155
17858,7,12.0,1,2,2,3,2,2,1,2,1,1,3.3,1,0,50,196
17859,7,9.0,0,2,2,2,2,2,1,2,1,1,4.9,0,0,45,185
17860,7,8.0,0,2,2,3,3,2,1,2,1,1,6.6,0,0,49,188
17861,7,8.0,1,2,2,2,2,2,2,4,1,1,9.9,0,0,33,140
17862,7,5.0,0,2,2,3,2,2,1,1,2,1,3.4,0,0,26,103
17863,7,3.0,0,2,2,3,2,2,1,1,2,1,7.8,0,0,16,51
17864,7,6.0,0,2,2,2,2,2,1,2,2,1,6.2,0,0,28,107
17865,7,9.0,0,2,2,2,2,2,2,2,1,1,9.0,0,0,75,285
17867,7,8.0,0,2,2,2,3,2,1,2,1,1,3.1,0,0,57,176
17868,7,8.0,0,2,2,2,2,2,1,2,2,1,7.4,0,0,61,333
17869,7,6.0,0,3,2,3,2,3,2,1,2,1,5.6,0,0,35,113
17870,7,12.0,0,2,2,2,3,2,1,4,2,2,15.3,1,0,19,130
17871,7,12.0,1,3,2,2,2,2,1,2,1,1,6.1,1,0,52,390
17872,7,10.0,0,2,2,2,2,2,2,2,1,1,3.9,0,0,44,157
17873,7,9.0,0,2,2,3,2,3,2,1,2,1,2.6,0,0,70,201
17874,7,11.0,0,2,2,2,2,2,2,4,1,1,6.9,1,0,52,169
17875,7,7.0,0,2,2,2,2,2,2,4,1,1,8.2,0,0,50,177
17876,7,8.0,0,2,2,3,3,2,2,2,1,1,7.3,0,0,53,223
