essay_id,set,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long,vocab_level,new_score,pred_score,prompt_relevance,total_length
1,1,4.0,0,2,2,2,2,2,1,2,1,1,11.3,0,0,120,343
2,1,5.0,0,2,3,2,3,2,1,2,1,1,10.1,1,0,134,422
3,1,4.0,0,2,2,2,2,3,2,2,1,1,9.9,0,0,132,283
4,1,5.0,0,2,2,2,2,2,1,2,1,1,12.0,1,0,134,530
5,1,4.0,0,3,2,2,2,2,1,2,1,1,7.7,0,0,165,470
6,1,4.0,0,2,2,2,3,2,1,2,1,1,6.0,0,0,75,246
7,1,5.0,0,2,2,2,2,2,2,2,1,1,8.7,1,0,175,507
8,1,5.0,0,2,2,2,2,2,2,2,1,1,6.7,1,0,183,496
9,1,4.0,0,3,2,3,2,2,1,2,1,1,5.8,0,0,146,454
10,1,5.0,0,3,2,2,2,2,1,2,1,1,8.2,1,0,154,514
11,1,4.0,0,2,2,2,2,2,1,2,1,1,9.8,0,0,92,328
12,1,4.0,0,2,2,2,2,2,1,2,1,1,7.9,0,0,119,400
13,1,4.0,0,2,2,3,2,2,1,4,1,1,14.1,0,0,76,204
14,1,3.0,0,2,2,3,2,3,2,2,1,1,4.8,0,0,117,307
15,1,3.0,0,2,2,2,2,2,1,2,1,1,7.2,0,0,78,176
16,1,6.0,0,2,2,2,2,2,1,2,1,1,9.7,1,0,196,535
17,1,4.0,0,2,2,3,3,2,1,3,1,1,8.6,0,0,112,347
18,1,4.0,0,2,2,3,2,2,1,2,1,1,11.3,0,0,125,374
19,1,2.0,0,2,2,3,2,2,1,2,1,1,4.5,0,0,17,66
20,1,3.0,0,2,2,2,2,2,1,2,1,1,7.2,0,0,58,158
21,1,4.0,0,2,2,2,2,2,1,3,1,1,9.4,0,0,106,367
22,1,2.0,0,2,2,2,2,2,1,4,1,1,14.6,0,0,23,56
23,1,5.0,0,2,3,2,2,2,2,2,1,1,8.6,1,0,183,530
24,1,6.0,0,2,3,2,2,2,1,2,1,1,8.3,1,0,190,573
25,1,4.0,0,2,3,2,2,2,1,4,1,1,9.9,0,0,117,294
26,1,5.0,0,2,2,2,2,3,1,2,1,1,7.9,1,0,113,366
27,1,2.0,0,2,2,2,2,2,1,4,1,1,8.0,0,0,30,122
28,1,5.0,0,3,2,3,2,2,1,2,1,1,6.9,1,0,86,362
29,1,5.0,0,3,2,3,2,2,2,2,1,1,8.1,1,0,117,374
30,1,4.0,0,2,2,3,2,2,1,2,1,1,8.5,0,0,65,262
31,1,4.0,0,2,3,2,2,2,2,2,1,1,7.5,0,0,150,492
32,1,5.0,0,2,2,2,2,2,2,2,1,1,7.2,1,0,169,502
33,1,3.0,0,2,2,2,2,2,1,1,1,1,6.7,0,0,63,167
34,1,4.0,0,2,2,2,2,2,1,2,1,1,5.5,0,0,129,370
35,1,4.0,0,2,2,2,2,2,1,1,2,1,6.2,0,0,157,415
36,1,5.0,0,3,2,2,2,2,2,3,1,1,11.3,1,0,159,548
37,1,6.0,0,3,2,2,2,2,1,2,1,1,7.6,1,0,161,490
38,1,4.0,0,2,2,3,3,2,1,3,1,1,9.2,0,0,115,354
39,1,5.0,0,2,3,3,2,2,1,2,2,1,9.7,1,0,173,446
40,1,4.0,0,2,2,2,2,2,1,1,2,1,5.1,0,0,84,193
41,1,1.0,0,2,2,3,2,2,1,2,1,1,6.1,0,0,21,41
42,1,4.0,0,2,2,2,2,2,1,2,1,1,9.5,0,0,90,285
43,1,3.0,0,2,3,2,3,2,1,2,1,1,8.8,0,0,49,143
44,1,4.0,0,2,2,2,2,2,1,1,1,1,4.1,0,0,140,314
45,1,4.0,0,2,2,2,2,2,1,3,1,1,6.9,0,0,98,326
46,1,4.0,0,2,2,3,2,2,1,3,1,1,13.2,0,0,112,307
