essay_id,set,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long,vocab_level,new_score,pred_score,prompt_relevance,total_length
16384,6,1.0,0,2,2,3,2,2,1,2,1,1,8.4,0,0,33,37
16385,6,3.0,0,2,2,3,2,2,1,3,1,1,10.9,0,0,202,259
16386,6,2.0,0,2,2,2,2,2,2,2,1,1,8.1,0,0,104,120
16387,6,3.0,0,2,2,3,2,3,2,2,1,1,9.1,0,0,122,176
16388,6,3.0,0,3,3,3,2,2,2,2,1,1,14.8,0,0,160,217
16389,6,2.0,0,2,2,2,2,2,1,4,1,1,11.3,0,0,111,132
16390,6,4.0,0,2,2,3,2,2,2,2,1,1,10.9,1,0,250,347
16391,6,4.0,0,2,2,3,2,3,1,2,1,1,12.8,1,0,183,258
16392,6,1.0,0,2,2,3,2,2,2,2,1,1,10.1,0,0,117,152
16393,6,3.0,0,2,2,3,2,2,2,4,1,1,11.7,0,0,169,233
16394,6,2.0,0,2,2,3,2,2,1,4,1,1,11.5,0,0,64,79
16395,6,3.0,0,2,2,3,3,2,2,4,2,2,21.6,0,0,137,168
16396,6,2.0,0,2,2,3,2,2,2,4,1,1,9.7,0,0,80,91
16397,6,3.0,0,2,2,3,2,2,1,2,1,1,10.3,0,0,108,141
16398,6,3.0,0,2,3,3,3,2,1,2,1,1,8.6,0,0,120,147
16399,6,3.0,0,3,3,3,2,2,2,2,1,1,9.6,0,0,158,184
16400,6,3.0,0,2,2,3,2,2,2,4,1,1,7.7,0,0,107,146
16401,6,2.0,0,2,2,3,2,2,1,4,1,1,10.5,0,0,72,90
16402,6,2.0,0,2,2,3,2,2,2,4,1,1,10.7,0,0,175,227
16403,6,2.0,0,2,2,3,2,2,2,2,1,1,11.8,0,0,119,152
16404,6,3.0,0,2,2,3,2,2,1,4,2,2,15.8,0,0,147,189
16405,6,4.0,0,2,2,3,2,2,2,3,1,1,11.2,1,0,156,229
16406,6,3.0,0,3,2,3,2,2,2,4,1,1,15.0,0,0,174,215
16407,6,3.0,0,2,3,3,2,2,1,4,1,1,13.9,0,0,139,165
16408,6,3.0,1,2,2,3,2,2,1,4,1,1,10.4,0,0,131,179
16409,6,2.0,0,2,2,2,2,2,1,2,1,1,14.6,0,0,92,102
16410,6,3.0,1,2,2,2,3,3,1,4,1,1,15.5,0,0,201,267
16411,6,4.0,0,3,2,2,2,3,1,4,1,1,16.5,1,0,147,198
16412,6,2.0,1,2,2,2,2,2,1,4,1,1,13.0,0,0,106,147
