essay_id,set,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long,vocab_level,new_score,pred_score,prompt_relevance,total_length
4096,2,3.0,0,2,2,2,2,2,1,2,1,1,8.8,0,0,178,612
4097,2,2.0,0,2,2,2,2,2,1,2,1,1,7.4,0,0,88,344
4098,2,3.0,0,3,2,3,2,2,1,4,1,1,11.5,0,0,85,242
4099,2,4.0,0,2,2,3,2,2,2,2,1,1,9.9,0,0,133,394
4100,2,3.0,1,2,2,3,2,2,2,2,1,1,4.7,0,0,97,284
4101,2,4.0,0,2,2,3,2,2,1,4,1,1,11.0,0,0,169,558
4102,2,4.0,0,3,2,3,2,2,1,2,1,1,8.6,0,0,71,228
4103,2,4.0,0,2,2,2,3,2,1,2,1,1,9.8,0,0,112,349
4104,2,3.0,0,2,2,3,2,2,1,3,1,1,9.4,0,0,96,281
4105,2,3.0,0,2,2,3,3,2,2,2,1,1,9.5,0,0,107,341
4106,2,3.0,1,2,2,2,2,2,2,2,1,1,8.5,0,0,126,356
4107,2,3.0,0,3,2,3,2,2,1,3,1,1,8.0,0,0,118,425
4108,2,6.0,0,3,2,2,2,2,2,3,1,1,12.3,1,0,198,648
4109,2,4.0,0,2,2,2,2,2,1,2,1,1,10.1,0,0,149,394
4110,2,3.0,0,2,2,2,2,2,1,2,1,1,10.8,0,0,86,236
4111,2,4.0,0,2,3,2,3,2,2,4,1,1,12.1,0,0,229,673
4112,2,2.0,1,2,2,3,2,2,1,2,1,1,8.0,0,0,32,97
4113,2,3.0,0,2,2,2,2,2,1,2,1,1,5.8,0,0,78,295
4114,2,4.0,0,2,3,3,2,2,1,2,1,1,7.2,0,0,139,433
4115,2,2.0,0,2,3,3,2,2,1,2,1,1,4.3,0,0,26,94
4116,2,4.0,0,2,2,3,3,2,1,2,1,1,10.6,0,0,102,324
4117,2,4.0,0,2,2,2,2,2,1,3,1,1,10.4,0,0,143,473
4118,2,3.0,0,2,2,2,2,3,1,4,1,1,10.5,0,0,112,296
4119,2,3.0,0,2,2,2,2,2,1,1,2,1,4.7,0,0,76,217
4120,2,2.0,0,3,2,3,2,2,1,2,1,1,9.2,0,0,80,248
4121,2,3.0,0,2,2,2,3,2,1,2,1,1,8.2,0,0,75,249
4122,2,3.0,0,2,2,3,3,2,1,4,1,1,11.7,0,0,54,155
4123,2,4.0,0,2,2,2,2,2,1,2,1,1,7.8,0,0,141,390
4124,2,2.0,0,2,2,3,2,2,1,4,1,1,7.7,0,0,38,126
4125,2,4.0,0,2,2,3,2,2,1,2,1,1,8.0,0,0,189,562
4126,2,4.0,0,2,2,3,2,3,2,2,1,1,11.8,0,0,137,493
4127,2,4.0,0,2,2,3,2,3,2,3,1,1,6.6,0,0,185,473
4128,2,4.0,0,2,2,3,2,2,2,2,1,1,7.7,0,0,164,492
4129,2,4.0,0,2,2,2,2,2,1,2,1,1,9.9,0,0,127,420
4130,2,4.0,0,3,2,3,2,2,1,1,2,1,2.9,0,0,198,814
4131,2,3.0,0,2,2,2,2,2,1,2,1,1,6.7,0,0,115,437
4132,2,3.0,0,2,2,2,2,2,1,1,2,1,6.7,0,0,54,257
4133,2,4.0,0,2,2,3,2,2,2,2,1,1,7.5,0,0,183,620
4134,2,4.0,0,2,2,3,2,2,1,2,1,1,9.8,0,0,232,568
4135,2,2.0,0,2,2,3,2,2,1,4,2,2,20.3,0,0,115,373
4136,2,2.0,0,2,2,3,2,2,1,2,1,1,7.1,0,0,46,148
4137,2,4.0,0,2,2,2,3,3,2,3,1,1,13.1,0,0,265,828
4138,2,4.0,0,2,2,3,2,2,1,2,1,1,7.7,0,0,168,514
4139,2,4.0,0,2,2,2,2,2,1,2,1,1,11.3,0,0,140,408
4140,2,2.0,0,2,2,3,2,2,1,2,1,1,5.4,0,0,69,177
4141,2,5.0,0,2,3,2,2,2,1,2,1,1,11.8,1,0,174,617
4142,2,4.0,0,2,2,3,2,2,1,2,1,1,6.6,0,0,96,318
4143,2,3.0,0,2,2,3,2,2,1,4,1,1,10.0,0,0,151,382
4144,2,4.0,0,2,2,3,2,2,1,2,1,1,9.2,0,0,152,462
4145,2,4.0,0,3,2,3,2,2,1,3,1,1,11.1,0,0,181,597
4146,2,3.0,0,2,2,3,2,2,1,2,1,1,6.4,0,0,151,398
4147,2,4.0,0,2,2,3,2,2,2,2,1,1,9.3,0,0,96,271
4148,2,4.0,0,2,2,2,2,2,1,3,1,1,9.6,0,0,145,442
4149,2,3.0,0,2,2,3,2,3,2,4,1,1,8.6,0,0,120,399
4150,2,3.0,0,2,2,3,2,2,1,3,1,1,8.1,0,0,114,284
4151,2,3.0,0,2,2,2,2,2,1,2,1,1,9.1,0,0,81,223
4152,2,3.0,0,2,2,2,2,2,1,4,1,1,12.3,0,0,112,248
4153,2,3.0,0,2,2,3,2,2,2,2,1,1,5.2,0,0,70,270
4154,2,4.0,0,2,2,2,3,2,1,4,1,1,12.8,0,0,123,372
4155,2,3.0,1,2,2,2,3,2,1,4,1,1,11.2,0,0,84,221
4156,2,3.0,0,2,2,3,2,2,1,2,1,1,13.2,0,0,79,264
4157,2,4.0,0,2,2,2,3,2,1,3,1,1,8.3,0,0,79,289
4158,2,4.0,0,2,2,3,2,2,1,2,1,1,6.9,0,0,143,471
4159,2,3.0,0,2,2,3,2,3,2,2,1,1,8.0,0,0,70,205
4160,2,3.0,0,3,2,3,2,3,2,3,1,1,9.2,0,0,178,463
4161,2,3.0,0,2,2,2,2,2,1,2,1,1,9.3,0,0,73,244
4162,2,5.0,0,2,2,2,2,2,1,2,1,1,9.6,1,0,160,529
4163,2,3.0,1,2,2,3,3,2,1,2,1,1,9.4,0,0,63,174
4164,2,3.0,0,2,2,3,3,3,1,1,1,1,4.2,0,0,129,354
4165,2,5.0,0,3,2,3,2,2,1,2,1,1,8.0,1,0,170,569
4166,2,3.0,0,2,2,3,2,2,1,2,1,1,6.4,0,0,138,375
4167,2,3.0,0,2,2,3,2,2,1,4,1,1,9.2,0,0,70,216
4168,2,4.0,0,2,2,3,2,2,1,2,1,1,9.1,0,0,82,284
4169,2,4.0,0,2,3,2,3,2,2,2,1,1,9.4,0,0,160,480
4170,2,3.0,0,2,2,2,2,2,1,2,1,1,4.2,0,0,108,322
4171,2,4.0,0,2,2,3,2,2,2,4,1,1,11.9,0,0,197,562
4172,2,4.0,0,3,2,3,3,3,2,3,1,1,10.3,0,0,138,479
4173,2,3.0,0,2,2,3,2,2,1,2,1,1,8.9,0,0,97,329
4174,2,4.0,0,2,2,3,2,3,1,2,1,1,10.8,0,0,215,702
4175,2,3.0,1,2,2,2,2,2,1,2,1,1,9.5,0,0,95,284
4176,2,5.0,0,2,2,2,2,2,1,2,1,1,8.7,1,0,222,753
4177,2,4.0,0,3,2,2,2,3,1,2,1,1,10.3,0,0,171,560
4178,2,4.0,0,2,2,3,2,2,1,4,1,1,7.7,0,0,116,382
4179,2,3.0,0,3,2,2,2,2,1,2,1,1,5.9,0,0,94,306
4180,2,4.0,0,2,2,3,2,2,1,3,1,1,11.6,0,0,133,437
4181,2,3.0,0,2,2,3,2,2,1,4,1,1,11.3,0,0,100,261
4182,2,4.0,0,2,2,3,2,2,2,2,1,1,6.8,0,0,131,402
4183,2,4.0,1,2,2,2,2,2,1,2,1,1,7.8,0,0,160,611
4184,2,3.0,1,2,2,2,2,2,1,2,1,1,7.9,0,0,119,364
4185,2,4.0,0,2,2,2,3,2,1,2,1,1,8.5,0,0,164,566
4186,2,3.0,0,2,2,3,2,3,1,2,1,1,8.1,0,0,149,436
4187,2,3.0,0,3,2,2,2,2,2,4,2,2,14.8,0,0,96,284
4188,2,3.0,0,3,2,3,2,2,1,2,1,1,5.3,0,0,119,374
4189,2,3.0,0,2,2,3,3,2,1,3,1,1,8.8,0,0,92,254
4190,2,4.0,1,2,2,3,3,2,2,2,1,1,9.1,0,0,124,423
4191,2,2.0,0,2,2,3,2,2,1,2,1,1,5.8,0,0,39,111
4192,2,4.0,0,2,2,3,2,2,1,2,1,1,8.3,0,0,89,348
4193,2,3.0,0,2,2,3,3,2,1,3,1,1,9.8,0,0,71,239
4194,2,4.0,0,3,2,2,2,2,1,4,1,1,11.7,0,0,154,449
4195,2,4.0,0,2,2,2,3,2,2,2,1,1,9.0,0,0,218,529
4196,2,3.0,0,2,2,2,2,2,1,2,1,1,10.3,0,0,138,402
4197,2,3.0,0,2,2,3,2,2,1,2,1,1,7.0,0,0,148,485
4198,2,4.0,0,2,2,2,2,2,2,2,1,1,8.9,0,0,109,359
4199,2,4.0,0,2,3,2,2,2,1,2,1,1,10.0,0,0,210,517
4200,2,2.0,1,2,2,3,2,2,1,2,1,1,6.4,0,0,37,132
4201,2,4.0,0,2,3,3,3,2,1,3,1,1,9.0,0,0,149,417
4202,2,5.0,0,2,2,2,2,2,1,2,1,1,10.2,1,0,145,577
4203,2,4.0,0,2,2,2,2,2,2,2,1,1,9.2,0,0,138,486
4204,2,3.0,0,2,2,3,2,2,1,4,1,1,7.9,0,0,62,214
4205,2,3.0,0,2,2,3,2,2,1,1,2,1,3.7,0,0,107,375
4206,2,3.0,0,3,2,2,2,2,1,4,2,2,15.0,0,0,52,150
4207,2,3.0,0,2,2,2,2,2,1,2,1,1,7.1,0,0,197,435
4208,2,5.0,0,3,2,2,2,2,1,2,1,1,14.4,1,0,179,628
4209,2,4.0,0,2,2,2,3,2,1,2,1,1,7.3,0,0,137,496
4210,2,2.0,0,2,2,3,2,2,1,4,2,2,18.3,0,0,49,134
4211,2,2.0,0,2,2,3,2,2,1,4,1,1,9.3,0,0,45,185
4212,2,4.0,0,2,2,3,2,2,1,2,1,1,10.3,0,0,97,311
4213,2,4.0,1,2,2,3,2,3,2,2,1,1,8.0,0,0,86,359
